Time(us), Temperature(C), Vth(nmos), Vth(pmos)
6770002,24.64,1.6424,0.5848
6853002,24.64,1.6424,0.5850
6936002,24.61,1.6424,0.5849
7019002,24.61,1.6425,0.5850
7102002,24.63,1.6424,0.5850
7185002,24.64,1.6425,0.5850
7268002,24.62,1.6425,0.5849
7351002,24.61,1.6424,0.5850
7434003,24.60,1.6424,0.5850
7517002,24.61,1.6423,0.5850
7600002,24.61,1.6425,0.5848
7683002,24.61,1.6426,0.5849
7766002,24.63,1.6425,0.5850
7848002,24.63,1.6423,0.5849
7931002,24.61,1.6423,0.5849
8014002,24.64,1.6424,0.5849
8097002,24.64,1.6425,0.5849
8180002,24.63,1.6423,0.5849
8263002,24.64,1.6424,0.5850
8346002,24.63,1.6423,0.5849
8429002,24.61,1.6425,0.5849
8512002,24.64,1.6425,0.5849
8595002,24.62,1.6422,0.5849
8678002,24.63,1.6423,0.5849
8761002,24.63,1.6424,0.5849
8844002,24.64,1.6423,0.5849
8927002,24.63,1.6424,0.5849
9010002,24.63,1.6424,0.5850
9093002,24.61,1.6424,0.5849
9176002,24.63,1.6421,0.5848
9258002,24.64,1.6424,0.5848
9341002,24.63,1.6425,0.5849
9424002,24.63,1.6424,0.5849
9507002,24.63,1.6424,0.5849
9590002,24.61,1.6424,0.5849
9673002,24.63,1.6424,0.5849
9756002,24.65,1.6424,0.5848
9839002,24.57,1.6423,0.5848
9922002,24.62,1.6422,0.5849
10005002,24.61,1.6422,0.5850
10088002,24.64,1.6424,0.5850
10171003,24.62,1.6422,0.5849
10254002,24.62,1.6425,0.5849
10337002,24.62,1.6424,0.5849
10420002,24.63,1.6422,0.5849
10503002,24.64,1.6422,0.5849
10586002,24.61,1.6424,0.5849
10669002,24.63,1.6424,0.5849
10752002,24.61,1.6424,0.5849
10835002,24.58,1.6424,0.5849
10918002,24.61,1.6424,0.5849
11001002,24.59,1.6424,0.5849
11084003,24.63,1.6424,0.5849
11167002,24.64,1.6424,0.5849
11250002,24.63,1.6424,0.5849
11333003,24.63,1.6423,0.5849
11415002,24.62,1.6423,0.5849
11498002,24.62,1.6421,0.5850
11581002,24.60,1.6424,0.5850
11664002,24.61,1.6422,0.5848
11747002,24.61,1.6422,0.5849
11830002,24.65,1.6423,0.5849
11913002,24.63,1.6424,0.5849
11996002,24.63,1.6424,0.5848
12079002,24.64,1.6423,0.5849
12162002,24.64,1.6424,0.5849
12245002,24.63,1.6423,0.5850
12328002,24.61,1.6424,0.5849
12411002,24.61,1.6423,0.5848
12494002,24.65,1.6425,0.5848
12577002,24.63,1.6423,0.5849
12660002,24.62,1.6424,0.5849
12743002,24.63,1.6424,0.5849
12826002,24.61,1.6423,0.5849
12910002,24.61,1.6423,0.5849

